Index,German,English
1852,"die dame, -n",the lady
1853,"die damenabteilung, -en",the women's department
1854,"die dampflokomotive, -n",the steam engine
1855,"die dauerwelle, -n",the perm
1856,"die decke, -n",1. the blanket. 2. the ceiling
1857,"die demokratie, -n",the democracy
1858,"die depression, -en",the depression
1859,"die deutschstunde, -n",the german class
1860,"die diebin, -nen",the female thief
1861,"die diele, -n",1. the floorboard. 2. the hallway
1862,"die diktatur, -en",the dictatorship
1863,"die disco, -s",the disco
1864,"die chance, -n",the chance
1865,"die diskussion, -en",the discussion
1866,die donau,the danube (river) no plural
1867,"das doppelbett, -en",the double bed
1868,"die doppelstunde, -n",the double period
1869,"die dose, -n",the can
1870,"die drachme, -n",the drachma (former greek currency)
1871,"die dreiergruppe, -n",the group of three
1872,"die drogerie, -n",the drugstore
1873,"die druckerei, -en",the print shop
1874,"die durchsage, -n",the announcement / message
1875,"die dusche, -n",the shower (1)
1876,"die ecke, -n",the corner
1877,die edv-kenntnisse,the computer experience (plural only)
1878,"die ehe, -n",the marriage (also figurative)
1879,"die ehefrau, -en",the wife
1880,die eifersucht,the jealousy (no plural)
1881,"die eigenschaft, -en","the quality, the property"
1882,"die eigentumswohnung, -en",the condominium
1883,die eile,"the hurry, the rush (no plural)"
1884,"die einbahnstraße, -n",the one way street
1885,"die einbauküche, -n",the built-in kitchen
1886,"die einbrecherin, -nen",the female burglar
1887,"die einfahrt, -en",the entry/entrance (vehicular);
1888,"die einheit, -en","the unity, the whole; the unit"
1889,"die einkaufsgewohnheit, -en",the shopping habit
1890,"die einkaufsliste, -n",the shopping list
1891,"die einkaufstasche, -n",the shopping bag
1892,"die einladung, -en",the invitation
1893,"die einwanderung, -en",the immigration
1894,"das einzelbett, -en",the single bed
1895,"die eisbahn, -en",the ice rink
1896,"die eisenbahnlinie, -n",the railway line
1897,die eltern,the parents (plural only)
1898,"die elternzeit, -en",the parental leave
1899,"die e-mail, -s",the email
1900,"die e-mail-adresse, -n",the email address
1901,"die empfangsdame, -n",the female receptionist
1902,"die enkelin, -nen",the granddaughter
1903,"die ente, -n",the duck
1904,"die entfernung, -en",the distance
1905,"die entscheidung, -en",the decision
1906,"die epoche, -n",the epoch
1907,"die erbtante, -n",the rich maiden aunt (hum.)
1908,"die erde, -n",the earth; soil; earth
1909,die erdkunde,the geography (1) no plural
1910,"die erfahrung, -en",the experience
1911,"die erfindung, -en",the invention
1912,die erfrischung,the refreshments (plural seldom)
1913,"die erkältung, -en",the cold (illness)
1914,"die erlaubnis, -se",the permission
1915,"die ermäßigung, -en","the discount, the reduction"
1916,"die erwachsene, -n",the female adult
1917,"die erzählerin, -nen",the female narrator
1918,"die erzählung, -en",the story; the narration
1919,"die eselsbrücke, -n",the mnemonic
1920,"die europäerin, -nen",the female european
1921,die europäische union (eu),the european union (eu) (no plural)
1922,die europäische wirtschaftsgemeinschaft (ewg),the european economic community (eec) (no plural) (arch)
1923,die europäische zentralbank (ezb),the european central bank (the ecb) (no plural)
1924,"die expertin, -nen",the female expert
1925,"die fabel, -n",the fable
1926,"die fabrik, -en",the factory
1927,"die fachhochschule, -n",the technical college
1928,"die fahne, -n",the flag
1929,"die fähre, -n",the ferry
1930,"die fahrerin, -nen",the female driver
1931,"die fahrkarte, -n",the ticket (transport)
1932,"die fahrt, -en","the drive, the journey"
1933,"die familie, -n",the family
1934,die fantasie,the imagination (no plural)
1935,"die farbe, -n",the colour
1936,"die farm, -en",the farm (2)
1937,"die fassade, -n",the facade
1938,"die feder, -n",the feather
1939,die ferien,the vacation (plural only) (usually school vacation)
1940,"die ferienzeit, -en",the holiday time
1941,"die fernbedienung, -en",the remote control
1942,"die festplatte, -n",the hard disk
1943,"die fete, -n",the party (1)
1944,"die feuerwehr, -en",the fire brigade
1945,die figur,"the figure, physique (no plural)"
1946,die finanzen,the finances (plural only)
1947,"die firma, die firmen","the firm, the company"
1948,"die flasche, -n",the bottle
1949,"die fleischerei, -en",the butcher shop
1950,"der heuschnupfen, -",the hay fever
1951,"die flöte, -n",the flute
1952,"die flötenstunde, -n",the flute lesson
1953,"die flugbegleiterin, -nen",the female flight attendant
1954,"die flugnummer, -n",the flight number
1955,"die folge, -n",1. the consequence; 2. the episode (tv)
1956,"die form, -en","the shape, the form"
1957,"die fotografie, -n",the photograph
1958,"die frage, -n",the question
1959,"die frau, -en","the woman, the wife"
1960,"der frauenbeauftragter, -",the women's advocate (male)
1961,"das fräulein, -",the unmarried woman [dated]
1962,"die freiheit, -en",the freedom
1963,"die freizeit, -en",the free time
1964,"die freizeitbeschäftigung, -en",the leisure activity
1965,"die fremdsprache, -n",the foreign language
1966,"die freude, -n",the joy
1967,"die freundin, -nen","the female friend, the girlfriend"
1968,die freundlichkeit,the friendliness (no plural)
1969,"die freundschaft, -en",the friendship
1970,"die friseurin, -nen",the female hair stylist / hairdresser
1971,"die frisöse, -n",the female hairdresser / stylist
1972,"die frisur, -en",the hairstyle
1973,"die führung, -en","the leadership, the command, the conduct,  the guided tour"
1974,"die furche, -n","the furrow, the rut"
1975,"die fußgängerzone, -n",the pedestrian zone (not crosswalk)
1976,"die gabel, -n",the fork
1977,"die galaxis, die galaxien",the galaxy
1978,"die gans, -""e",the goose
1979,die ganze familie,the whole family (no plural)
1980,"die ganztagsstelle, -n",the full time job
1981,"die garage, -n",the garage
1982,"die garderobe, -n",the cloakroom; coat rack
1983,"die gardine, -n",the net curtain
1984,"die gartenterrasse, -n",the garden terrace
1985,"die gärtnerin, -nen",the female gardener
1986,die gastronomie,the catering trade (no plural) / gastronomy
1987,"die gaststätte, -n",the restaurant (1)
1988,"die gebrauchsanweisung, -en",the instructions for use
1989,"die gebühr, -en",the fee
1990,"die geburt, -en",the birth
1991,"das geburtstagsgeschenk, -e",the birthday present
1992,"die geburtstagskarte, -n",the birthday card
1993,"das gedächtnis, -se",the memory (qualitative)
1994,"die gefahr, -en",the danger
1995,"die gegend, -en","the district, area, region"
1996,die gegenwart,"the present time/tense (no plural),"
1997,"die geige, -n",the violin
1998,"die geigerin, -nen",the female violinist
1999,"die geldstrafe, -n",the fine
2000,"die geldtasche, -n",the purse / wallet (2)
2001,"die gelegenheit, -en",the opportunity
2002,"die generation, -en",the generation
2003,die genetik,the genetics (no plural)
2004,die geographie,the geography (2) (no plural)
2005,"die geranie, -n",the geranium
2006,"die gesamtbevölkerung, -en",the total population
2007,"die gesamtschule, -n",the comprehensive school
2008,"die gewerkschaft, -en",the trade union/labor union
2009,"die geschichte, -n",the history
2010,"die geschirrspülmaschine, -n",the dishwasher (1)
2011,"die geschwindigkeit, -en",the speed
2012,"die geschwindigkeitsbegrenzung, -en",the speed limit
2013,"das geschwisterkind, -er",the child of a sibling (outdated)
2014,"die gesellschaft, -en",the society; corporation; company
2015,"die gestalt, -en","the shape, the figure, the build"
2016,"die gewohnheit, -en",the habit (behaviour)
2017,"die gießkanne, -n",the watering can
2018,"die giraffe, -n",the giraffe
2019,"die gitarre, -n",the guitar
2020,"die gitarristin, -nen",the female guitarist
2021,die gleichberechtigung,the equal rights (no plural)
2022,die globale erwärmung,the global warming (no plural)
2023,"die glückwunschanzeige, -n",the congratulatory ad
2024,"die glückwunschkarte, -n",the congratulatory card
2025,"die grafik, -en",the graphic
2026,"die grausamkeit, -en",the cruelty
2027,"die grenze, -n",the border
2028,"die griechin, -nen",the female greek person
2029,"die größe, -n","the height, the size"
2030,die großeltern,the grandparents (plural only)
2031,"die großmutter, -""",the grandmother
2032,"die großstadt, -""e",the metropolis
2033,"die grundschule, -n",the primary school
2034,"die gruppe, -n",the group
2035,"die grußformel, -n",the salutation; manner of greeting
2036,die gulaschsuppe,the goulash soup (no plural)
2037,die güter,the goods commodities (nt plural only)
2038,"die haarbürste, -n",the hairbrush
2039,"die haarsträhne, -n",the strand of hair
2040,"die hälfte, -n",the half
2041,"die halskette, -n",the necklace
2042,die halsschmerzen,the sore throat (plural only)
2043,"die hand, -""e",the hand
2044,"die handschrift, -en",the handwriting
2045,"die handtasche, -n",the handbag
2046,"die harfe, -n",the harp
2047,"die hauptschule, -n",the junior high school/comprehensive school
2048,"die hauptstadt, -""e",the capital city
2049,"die hauptverkehrszeit, -en",the rush hour
2050,die hausarbeit,the housework (no plural)
2051,"die hausärztin, -nen",the female family doctor
2052,"die hausaufgabe, -n",the homework assignment
2053,"die hausfrau, -en",the housewife
2054,"die hausnummer, -n",the house number
2055,"die haustür, -en",the front door
2056,die hauswirtschaft,the home economics / domestic science (no plural)
2057,die hecke schneiden,to clip the hedge
2058,"die hecke, -n",the hedge
2059,"die heimat, -en","the native country, the home town, the homeland"
2060,"die heimfahrt, -en",the journey home
2061,"die heirat, -en",the marriage
2062,"die heizung, -en",the heating
2063,die herbergseltern,the youth hostel wardens (plural only)
2064,"die herrenabteilung, -en",the men's department
2065,die hilfe,the help (no plural)
2066,die hitze,the heat (no plural); heat (no article)
2067,"die hochschule, -n","the college, the university"
2068,"die hochzeit, -en",the wedding
2069,"die hoffnung, -en",the hope
2070,"die hose, -n",the pants (trousers)
2071,"die hütte, -n",the hut
2072,"die hymne, -n",the hymn
2073,"die idee, -n","the idea, the concept"
2074,"die ikone, -n",the icon
2075,"die illustration, -en",the illustration
2076,"die illustrierte, -n",the magazine (adjectival noun)
2077,die informatik,the i.t. (no plural)
2078,"die information, -en",the information (2)
2079,"die ingenieurin, -nen",the female engineer
2080,"die innovation, -en",the innovation (1)
2081,"die insel, -n",the island
2082,"die italienerin, -nen",the female italian person
2083,"die jacke, -n",the jacket
2084,"die jahreszeit, -en","the season, time of year"
2085,"die jeans, -",the jeans (plural only)
2086,die jugend,youth (no plural)
2087,"die jobliste, -n",the list of jobs
2088,"die jogginghose, -n",the jogging pants
2089,"die jüdin, -nen",the female jew
2090,"die jugendherberge, -n",the youth hostel
2091,"die jugendliche, -n",the youth (female)
2092,jura,"jurisprudence; law [no plural, no article]"
2093,"die jury, -s",the jury
2094,"die kaffeekanne, -n",the coffee pot
2095,"die kaffeemaschine, -n",the coffee machine
2096,"die kaiserin, -nen",the empress
2097,"die kamera, -s",the camera (2)
2098,"die kantate, -n",the cantata
2099,"die kanzlerin, -nen",the female chancellor
2100,"die kapelle, -n","the chapel, the band"
2101,"die karikatur, -en","the caricature, the cartoon"
2102,"die karotte, -n",the carrot
2103,"die karriere, -n",the career
2104,"die karte, -n",the card
2105,"die kartoffel, -n",the potato
2106,"der kartoffelchip, -s",the potato chip (us) / crisp (uk)
2107,"die kasse, -n",the till / cash register / cash desk
2108,"die bank, -""e",the bench
2109,"die kassiererin, -nen",the female cashier
2110,"die katze, -n",the cat
2111,"die kellnerin, -nen",the waitress
2112,"die kenntnis, -se",the knowledge
2113,"die kerze, -n",the candle
2114,"die kinderabteilung, -en",the children's department
2115,die kinderlähmung,the polio (no plural)
2116,"die kindheit, -en",the childhood
2117,"die kirche, -n",the church
2118,"die klarinette, -n",the clarinet
2119,"die klasse, -n",the class
2120,"die klassenarbeit, -en",the classwork
2121,"die klassische musik, -en",the classical music
2122,"die klausur, -en","the exam, the cloister"
2123,kleidung,clothing (no indef art; no pl)
2124,"die kleinbahn, -en",the narrow-gauge railway
2125,"die klimaanlage, -n",the air conditioner
2126,"die klingel, -n",the (door)bell
2127,"die klippe, -n",the cliff
2128,"die knackwurst, -""e",the knackwurst
2129,"die kneipe, -n",the pub
2130,die kocherei,the cooking (no plural)
2131,"die köchin, -nen",the female cook
2132,"die kohle, -n",the coal
2133,"die kollegin, -nen",the female colleague
2134,"die kommode, -n",the chest of drawers
2135,"die komödie, -n",the comedy
2136,"die komponistin, -nen",the female composer
2137,"die komposition, -en",the composition
2138,"die konditorei, -en","the cake shop, the confectioners"
2139,"die königin, -nen",the queen
2140,"die kontaktlinse, -n",the contact lens
2141,die kälte,the cold (i.e. not hot) (no plural)
2142,"die krankenversicherung, -en",the health insurance
2143,"die krankheit, -en",the illness (2)
2144,"die krawatte, -n",the tie (1)
2145,"die kreditkarte, -n",the credit card
2146,"die kreuzung, -en","the crossroads, the junction"
2147,"die kritik, -en",the criticism
2148,"die kritikerin, -nen",the female critic
2149,"die krone, -n",the crown
2150,"die küche, -n",the kitchen
2151,die küchenbenutzung,the use of the kitchen no plural)
2152,"die kuckucksuhr, -en",the cuckoo clock
2153,"die kugel, -n","the bowling ball, bowl, bullet, scoop"
2154,"die kuh, -""e",the cow
2155,"die kundin, -nen",the female customer
2156,"die kunst, -""e",the art
2157,"die kunstgalerie, -n",the art gallery (1)
2158,"die künstlerin, -nen",the female artist
2159,"die kurve, -n",the curve
2160,"die cousine, -n",the female cousin
2161,"die küste, -n",the coast
2162,"die kutsche, -n",the horse carriage
2163,"die lage, -n",1. the location. 2. the situation
